year,region,classification,pollutant,unit,source,data_status,energy_industry_co2e_t,energy_co2e_t,industry_co2e_t,traffic_co2e_t,buildings_co2e_t,agriculture_co2e_t,waste_co2e_t,fluorinated_gases_co2e_t,total_co2e_t,population,energy_co2e_t_percapita,industry_co2e_t_percapita,energy_industry_co2e_t_percapita,traffic_co2e_t_percapita,buildings_co2e_t_percapita,agriculture_co2e_t_percapita,waste_co2e_t_percapita,fluorinated_gases_co2e_t_percapita,total_co2e_t_percapita,international_flight_co2e_t
2004,Niederösterreich,Gesamt,THG,t CO2-äq,BLI 2024 (1990-2022),31102024,10654034.21,7712893.406,2941140.805,5218419.222,2814986.154,2222720.856,938805.6913,232624.3084,22081590.44,1557291,4.95276310336347,1.88862634215442,6.84138944487575,3.35095959714658,1.80761730081276,1.4272996222286,0.602845384260231,0.149377546264635,14.1794888944969,
2004,Niederösterreich,KSG,THG,t CO2-äq,BLI 2024 (1990-2022),31102024,,,,,,,,,,1557291,,,,,,,,,,
2004,Oberösterreich,Emissionshandel,THG,t CO2-äq,BLI 2024 (1990-2022),31102024,,,,,,,,,,1387488,,,,,,,,,,
2004,Oberösterreich,Gesamt,THG,t CO2-äq,BLI 2024 (1990-2022),31102024,13734163.2,1937193.235,11796969.97,4440771.523,2148729.839,2281088.454,524943.5585,208085.4381,23337782.02,1387488,1.3961873796386,8.5023942333195,9.89858160935446,3.20058373333679,1.54864751190641,1.64404193333564,0.378340971957956,0.149972783980834,16.8201685492055,
2004,Oberösterreich,KSG,THG,t CO2-äq,BLI 2024 (1990-2022),31102024,,,,,,,,,,1387488,,,,,,,,,,
2004,Salzburg,Emissionshandel,THG,t CO2-äq,BLI 2024 (1990-2022),31102024,,,,,,,,,,519691,,,,,,,,,,
2004,Salzburg,Gesamt,THG,t CO2-äq,BLI 2024 (1990-2022),31102024,1086338.55,294517.5363,791821.0139,1518008.38,911521.6569,608625.9125,139200.8994,77507.79824,4341203.197,519691,0.566716637963713,1.5236381116856,2.09035474926447,2.92098262236598,1.75396852533525,1.17113036881532,0.2678532039231,0.149142082968533,8.35343155259568,
2004,Salzburg,KSG,THG,t CO2-äq,BLI 2024 (1990-2022),31102024,,,,,,,,,,519691,,,,,,,,,,
2004,Steiermark,Emissionshandel,THG,t CO2-äq,BLI 2024 (1990-2022),31102024,,,,,,,,,,1192168,,,,,,,,,,
2004,Steiermark,Gesamt,THG,t CO2-äq,BLI 2024 (1990-2022),31102024,8646758.268,3017456.399,5629301.869,3701328.88,1890215.292,1398910.525,764954.6289,219522.381,16621689.97,1192168,2.53106642604063,4.72190317891438,7.25296960495501,3.10470410210641,1.58552762026828,1.17341727424323,0.641650026590212,0.184137119097308,13.9424057431503,
